DUECA time,xdotdot,FrameSignature,Roll raw,Pitch raw,Yaw raw,X raw,Y raw,Z raw
1021200,-0.000767398,15527,57.4158,79.2233,7.74469,-57.2346,-30.2646,518.22
1021600,-0.00179059,15530,56.7874,79.2741,7.66154,-57.5257,-30.3221,518.32
1022000,-0.00281377,15534,55.91,79.3753,7.53146,-57.9207,-30.3736,518.596
1022400,-0.00383693,15542,54.1012,79.525,7.24963,-58.7594,-30.5156,518.894
1022800,-0.00486006,15546,53.205,79.5702,7.08776,-59.1505,-30.5841,518.894
1023200,-0.00588315,15549,52.5638,79.5865,6.97166,-59.4396,-30.6461,518.872
1023600,-0.0069062,15557,51.1004,79.694,6.66848,-60.1348,-30.7541,519.002
1024000,-0.00792921,15561,50.507,79.7996,6.53412,-60.4461,-30.7741,519.242
1024400,-0.00895216,15565,49.9918,79.9207,6.37906,-60.679,-30.7731,519.51
1024800,-0.00997505,15568,49.7059,79.9943,6.29267,-60.8625,-30.7941,519.67
1025200,-0.0109979,15576,49.1592,80.2688,6.16282,-61.3239,-30.7976,519.884
1025600,-0.0112532,15580,49.0187,80.4606,6.1322,-61.5628,-30.7671,519.918
1026000,-0.0112527,15584,48.9188,80.6817,6.09156,-61.7789,-30.7286,519.968
1026400,-0.0112522,15591,48.945,81.2033,6.07023,-62.2403,-30.5791,520.012
1026800,-0.0112515,15595,48.8269,81.6362,6.07015,-62.4858,-30.4601,519.98
1027200,-0.0112508,15598,48.6726,82.0667,6.06115,-62.6458,-30.3351,519.978
1027600,-0.0112501,15602,48.431,82.7319,6.01729,-62.8255,-30.1766,519.936
1028000,-0.0112493,15610,48.0748,84.2505,5.86205,-63.1195,-29.8546,519.926
1028400,-0.0112484,15614,48,84.9673,5.83396,-63.2727,-29.7131,519.892
1028800,-0.0112476,15617,48.0087,85.4205,5.87098,-63.4439,-29.6241,519.856
1029200,-0.0112466,15625,47.9768,86.4005,6.0282,-63.9987,-29.4401,519.798
1029600,-0.0112457,15629,47.8685,86.8361,6.04257,-64.264,-29.3741,519.826
1030000,-0.0112446,15632,47.7851,87.1739,6.03408,-64.468,-29.3041,519.882
1030400,-0.0112436,15636,47.6482,87.575,6.01027,-64.7225,-29.2447,519.944
1030800,-0.0112425,15640,47.5555,87.9773,6.00258,-64.9623,-29.1702,520.026
1031200,-0.0112414,15648,47.4605,88.6843,6.07707,-65.4059,-29.0552,520.062
1031600,-0.0112403,15651,47.4338,88.9564,6.11418,-65.5484,-29.0007,520.05
1032000,-0.0112392,15659,47.3289,89.6761,6.13319,-65.8219,-28.8762,520.018
1032400,-0.011238,15663,47.2646,89.9997,6.12654,-65.9312,-28.8272,519.976
1032800,-0.0112369,15667,47.2148,90.301,6.1428,-66.0676,-28.7772,519.922
1033200,-0.0112357,15670,47.1663,90.5251,6.16032,-66.1733,-28.7392,519.884
1033600,-0.0112345,15678,46.9848,91.0859,6.1772,-66.4359,-28.6647,519.766
1034000,-0.0112333,15682,46.9151,91.3622,6.18097,-66.5993,-28.6227,519.694
1034400,-0.011232,15685,46.8762,91.5763,6.18059,-66.7207,-28.5837,519.624
1034800,-0.0112308,15689,46.7837,91.963,6.21173,-66.9096,-28.5017,519.528
1035200,-0.0112296,15697,46.4506,93.0994,6.31462,-67.3379,-28.2667,519.108
1035600,-0.0112284,15700,46.3381,93.6674,6.32584,-67.4976,-28.1677,518.906
1036000,-0.0112272,15704,46.2023,94.5459,6.31444,-67.6721,-28.0177,518.628
1036400,-0.0112259,15712,46.0661,96.4918,6.34694,-67.9457,-27.7022,518.134
1036800,-0.0112247,15716,46.0316,97.4687,6.41435,-68.0898,-27.5568,518.004
