DUECA time,xdotdot,FrameSignature,Roll raw,Pitch raw,Yaw raw,X raw,Y raw,Z raw
3663200,0.000139926,451,61.9401,11.6508,-82.7958,-137.081,14.8502,-40.909
3663600,0.000419776,455,61.6902,11.5437,-82.7985,-137.61,14.6797,-40.1011
3664000,0.000699623,458,61.4506,11.4364,-82.8261,-137.937,14.5822,-39.4351
3664400,0.000979465,466,60.8172,11.0542,-82.9067,-138.813,14.2617,-37.6452
3664800,0.0012593,471,60.4257,10.847,-82.9362,-139.34,14.0807,-36.5333
3665200,0.00153913,475,60.122,10.6764,-82.9484,-139.756,13.9202,-35.6833
3665600,0.00181894,479,59.81,10.4908,-82.9585,-140.163,13.7723,-34.8694
3666000,0.00209874,486,59.2273,10.2344,-83.0065,-140.786,13.5255,-33.4315
3666400,0.00237853,490,58.9116,10.1137,-83.0521,-141.101,13.4033,-32.6255
3666800,0.0026583,494,58.6119,9.98668,-83.0962,-141.403,13.2813,-31.8756
3667200,0.00293806,497,58.3939,9.8916,-83.1193,-141.633,13.202,-31.3276
3667600,0.00307787,505,57.8296,9.55904,-83.1648,-142.21,12.9908,-30.1037
3668000,0.00307773,509,57.5395,9.37615,-83.1989,-142.476,12.8981,-29.5437
3668400,0.00307758,512,57.3131,9.23829,-83.2359,-142.655,12.8316,-29.1197
3668800,0.00307741,520,56.735,8.8203,-83.3497,-143.114,12.6646,-28.0538
3669200,0.00307723,524,56.4564,8.57322,-83.3942,-143.343,12.5841,-27.5478
3669600,0.00307703,528,56.1868,8.30804,-83.4302,-143.571,12.4976,-27.0478
3670000,0.00307681,531,55.9907,8.09657,-83.4532,-143.746,12.4456,-26.6599
3670400,0.00307658,535,55.7042,7.79323,-83.4923,-143.962,12.3718,-26.1279
3670800,0.00307634,543,55.0907,7.19407,-83.6024,-144.372,12.2466,-24.992
3671200,0.00307609,546,54.8438,6.97993,-83.6499,-144.531,12.2018,-24.556
3671600,0.00307583,550,54.5046,6.68034,-83.7069,-144.768,12.1511,-24.016
3672000,0.00307556,558,53.8564,6.01906,-83.8085,-145.255,12.0384,-23.0701
3672400,0.00307527,562,53.5566,5.66427,-83.8414,-145.53,11.9801,-22.6941
3672800,0.00307498,565,53.3007,5.44962,-83.8609,-145.722,11.9591,-22.3621
3673200,0.00307469,573,52.6073,4.98936,-83.9064,-146.287,11.9016,-21.3422
3673600,0.00307438,576,52.3198,4.79001,-83.9504,-146.45,11.8849,-21.0002
3674000,0.00307407,580,51.9826,4.50614,-84.0154,-146.658,11.8486,-20.5762
3674400,0.00307376,588,51.5162,4.09865,-84.0664,-147.071,11.8074,-19.9683
3674800,0.00307343,591,51.3821,3.99284,-84.0515,-147.231,11.8131,-19.8143
3675200,0.00307311,595,51.1931,3.84811,-84.0197,-147.445,11.7976,-19.6403
3675600,0.00307278,599,50.9845,3.74845,-83.9967,-147.648,11.8054,-19.5343
3676000,0.00307245,606,50.5417,3.6842,-84.0238,-147.937,11.8221,-19.3223
3676400,0.00307212,610,50.3022,3.65985,-84.0573,-148.085,11.8449,-19.1443
3676800,0.00307179,614,50.0713,3.58496,-84.0751,-148.252,11.8399,-18.9883
3677200,0.00307145,621,49.7265,3.33606,-84.0536,-148.611,11.8244,-18.7224
3677600,0.00307112,625,49.5005,3.16369,-84.0473,-148.806,11.8209,-18.5424
3678000,0.00307079,629,49.2307,2.9746,-84.0739,-148.963,11.8071,-18.3004
3678400,0.00307045,632,49.0185,2.8195,-84.1075,-149.063,11.7951,-18.1184
3678800,0.00307012,640,48.4741,2.36399,-84.187,-149.348,11.7481,-17.6724
3679200,0.00306979,644,48.1845,2.1067,-84.2128,-149.474,11.7334,-17.4644
3679600,0.00306946,647,47.982,1.89982,-84.2229,-149.575,11.7014,-17.3264
3680000,0.00306914,655,47.4457,1.38863,-84.2642,-149.837,11.6484,-16.8985
3680400,0.00306882,660,47.1311,1.0773,-84.3028,-149.987,11.6099,-16.6705
3680800,0.0030685,664,46.868,0.844385,-84.3357,-150.087,11.5904,-16.4565
3681200,0.00306818,668,46.6778,0.648469,-84.3419,-150.225,11.5484,-16.2325
3681600,0.00306787,672,46.5078,0.46652,-84.3395,-150.362,11.5136,-16.0125
3682000,0.00306757,679,46.3039,0.0524207,-84.3443,-150.548,11.4166,-15.6825
3682400,0.00306726,683,46.2314,-0.208333,-84.3498,-150.641,11.3674,-15.4866
3682800,0.00306697,686,46.1918,-0.393122,-84.3438,-150.732,11.3142,-15.3186
3683200,0.00306668,694,45.9957,-0.760259,-84.3206,-150.947,11.1927,-14.8086
3683600,0.00306639,698,45.8771,-0.936067,-84.3164,-151.057,11.1289,-14.5246
3684000,0.00306611,702,45.7824,-1.17498,-84.325,-151.152,11.0464,-14.2386
3684400,0.00306584,705,45.7255,-1.37623,-84.3292,-151.227,10.9819,-13.9986
3684800,0.00306557,713,45.5721,-1.88465,-84.3121,-151.481,10.7967,-13.2727
3685200,0.00306531,717,45.466,-2.14304,-84.2996,-151.604,10.7122,-12.8827
3685600,0.00306506,720,45.3654,-2.37628,-84.2928,-151.717,10.6252,-12.6207
3686000,0.00306481,728,45.0258,-2.89751,-84.315,-152.046,10.4232,-11.6968
3686400,0.00306457,732,44.8659,-3.12792,-84.3347,-152.201,10.333,-11.2428
3686800,0.00306434,735,44.7424,-3.31676,-84.3442,-152.334,10.2405,-10.8808
3687200,0.00306411,739,44.5843,-3.58975,-84.3442,-152.546,10.1165,-10.3849
3687600,0.00306389,747,44.2639,-4.17744,-84.3478,-152.917,9.86299,-9.29893
3688000,0.00306368,751,44.0782,-4.49293,-84.3626,-153.103,9.72675,-8.71297
3688400,0.00306347,755,43.8801,-4.82534,-84.391,-153.243,9.58926,-8.135
3688800,0.00306328,758,43.7356,-5.07978,-84.4102,-153.376,9.48277,-7.64103
3689200,0.00306309,766,43.3416,-5.81177,-84.4516,-153.758,9.15679,-6.28712
3689600,0.0030629,769,43.1896,-6.11605,-84.463,-153.892,9.03529,-5.78715
3690000,0.00306273,773,42.9956,-6.52933,-84.4725,-154.094,8.8588,-5.09319
3690400,0.00306256,781,42.6038,-7.39868,-84.5112,-154.474,8.49308,-3.79527
3690800,0.0030624,784,42.4556,-7.72004,-84.5329,-154.611,8.36533,-3.2793
3691200,0.00306224,788,42.2676,-8.14484,-84.5531,-154.84,8.17459,-2.55734
3691600,0.0030621,796,41.882,-8.88839,-84.61,-155.114,7.87886,-1.22143
3692000,0.00306196,799,41.7487,-9.18876,-84.6306,-155.213,7.75837,-0.81345
3692400,0.00306183,803,41.6116,-9.60767,-84.6573,-155.369,7.58813,-0.32948
3692800,0.0030617,811,41.3965,-10.3406,-84.7274,-155.537,7.3539,0.586464
3693200,0.00306158,814,41.3315,-10.5458,-84.7411,-155.61,7.2729,0.898445
3693600,0.00306147,818,41.2434,-10.7856,-84.7568,-155.679,7.18091,1.30042
3694000,0.00306137,822,41.1612,-11.0805,-84.7807,-155.703,7.10291,1.6464
3694400,0.00306127,829,41.0307,-11.7655,-84.8515,-155.731,6.91942,2.14237
