DUECA time,xdotdot,FrameSignature,Roll raw,Pitch raw,Yaw raw,X raw,Y raw,Z raw
23722000,-0.0002558,13732,-2.08343,204.538,76.3867,61.7067,342.423,-919.876
23722400,-0.001279,13740,-2.23589,205.26,76.1194,61.4693,342.538,-920.336
23722800,-0.00230218,13744,-2.2248,205.513,76.0461,61.2457,342.562,-920.548
23723200,-0.00332535,13748,-2.20762,205.798,75.9962,61.0118,342.648,-920.462
23723600,-0.0043485,13757,-2.31726,206.28,75.8088,60.5733,342.873,-919.614
23724000,-0.00537161,13757,-2.31726,206.28,75.8088,60.5733,342.873,-919.614
23724400,-0.00639468,13765,-3.01904,206.203,75.087,60.8627,343.091,-919.156
23724800,-0.00741771,13768,-3.39969,206.158,74.7401,61.0357,343.173,-918.742
23725200,-0.00844069,13772,-3.92705,206.057,74.2148,61.2521,343.255,-918.036
23725600,-0.00946361,13776,288.081,174.454,-187.376,-20.4009,96.3379,-1227.34
23726000,-0.0104865,13776,288.081,174.454,-187.376,-20.4009,96.3379,-1227.34
23726400,-0.0112535,13776,288.081,174.454,-187.376,-20.4009,96.3379,-1227.34
23726800,-0.011253,13776,288.081,174.454,-187.376,-20.4009,96.3379,-1227.34
23727200,-0.0112525,13776,288.081,174.454,-187.376,-20.4009,96.3379,-1227.34
23727600,-0.0112519,13776,288.081,174.454,-187.376,-20.4009,96.3379,-1227.34
23728000,-0.0112512,13780,87.6555,178.171,-54.842,17.721,249.113,-1072.25
23728400,-0.0112505,13787,-6.7734,181.041,-1.38178,39.2697,312.554,-978.696
23728800,-0.0112497,13791,-20.1633,182.128,5.83222,45.6629,323.108,-953.122
23729200,-0.0112489,13794,-26.7593,182.737,8.40696,49.3111,327.44,-938.667
23729600,-0.011248,13798,-32.8168,183.329,10.4027,52.9417,332.463,-926.939
23730000,-0.0112471,13806,-39.4629,183.377,13.3043,56.8913,337.972,-914.132
23730400,-0.0112461,13810,-41.2524,183.44,14.6246,57.9876,340.072,-909.562
23730800,-0.0112452,13817,-43.6565,182.409,15.3499,60.4483,342.557,-904.577
23731200,-0.0112441,13821,-44.5948,181.431,15.2759,61.8455,343.445,-901.749
