DUECA time,xdotdot,FrameSignature,Roll raw,Pitch raw,Yaw raw,X raw,Y raw,Z raw
1631200,-0.000767398,31130,36.0799,-39.4432,-45.5379,-157.178,-128.206,412.972
1631600,-0.00179059,31138,36.0924,-39.2978,-45.3107,-157.499,-128.325,412.92
1632000,-0.00281377,31138,36.0924,-39.2978,-45.3107,-157.499,-128.325,412.92
1632400,-0.00383693,31147,36.1407,-38.9931,-45.0592,-157.837,-128.406,412.87
1632800,-0.00486006,31151,36.1691,-38.8419,-44.9344,-157.972,-128.424,412.832
1633200,-0.00588315,31155,36.1928,-38.6915,-44.8026,-158.102,-128.437,412.788
1633600,-0.0069062,31160,36.2266,-38.4806,-44.6577,-158.259,-128.44,412.71
1634000,-0.00792921,31164,36.2585,-38.3201,-44.544,-158.386,-128.445,412.654
1634400,-0.00895216,31172,36.3023,-38.0878,-44.2649,-158.643,-128.437,412.544
1634800,-0.00997505,31176,36.3163,-37.9958,-44.1385,-158.76,-128.433,412.47
1635200,-0.0109979,31179,36.3288,-37.9212,-44.053,-158.843,-128.427,412.408
1635600,-0.0112532,31183,36.3481,-37.8403,-43.9445,-158.94,-128.418,412.338
1636000,-0.0112527,31191,36.4283,-37.8121,-43.713,-159.116,-128.405,412.174
1636400,-0.0112522,31195,36.5021,-37.8507,-43.6006,-159.195,-128.399,412.066
1636800,-0.0112515,31198,36.5686,-37.8978,-43.5002,-159.251,-128.404,411.98
1637200,-0.0112508,31202,36.6762,-37.9966,-43.3078,-159.357,-128.395,411.862
1637600,-0.0112501,31210,36.8738,-38.105,-42.9945,-159.496,-128.371,411.616
1638000,-0.0112493,31214,36.9838,-38.1538,-42.8813,-159.567,-128.353,411.538
1638400,-0.0112484,31218,37.0931,-38.2416,-42.74,-159.654,-128.351,411.446
1638800,-0.0112476,31225,37.2716,-38.3674,-42.5045,-159.833,-128.332,411.326
1639200,-0.0112466,31229,37.3736,-38.3982,-42.3975,-159.945,-128.31,411.252
1639600,-0.0112457,31233,37.4422,-38.4007,-42.2808,-160.046,-128.291,411.178
1640000,-0.0112446,31236,37.4888,-38.3758,-42.1761,-160.133,-128.266,411.126
1640400,-0.0112436,31244,37.5448,-38.1145,-41.9774,-160.276,-128.183,410.978
1640800,-0.0112425,31248,37.5832,-37.9449,-41.865,-160.358,-128.133,410.874
1641200,-0.0112414,31251,37.6104,-37.8014,-41.7706,-160.422,-128.092,410.8
1641600,-0.0112403,31259,37.6573,-37.4824,-41.5409,-160.615,-127.989,410.578
1642000,-0.0112392,31263,37.6707,-37.3694,-41.4368,-160.744,-127.942,410.498
1642400,-0.011238,31267,37.6804,-37.3164,-41.3331,-160.89,-127.905,410.436
1642800,-0.0112369,31270,37.6875,-37.3101,-41.2565,-161.015,-127.883,410.382
1643200,-0.0112357,31278,37.7268,-37.4466,-41.0412,-161.405,-127.867,410.246
1643600,-0.0112345,31281,37.727,-37.5511,-40.9634,-161.54,-127.871,410.204
