DUECA time,xdotdot,FrameSignature,Roll raw,Pitch raw,Yaw raw,X raw,Y raw,Z raw
2810000,0,2296,44.1307,-30.9658,33.3341,32.1882,-16.8412,-25.6899
2810400,0.000279851,2300,44.7226,-30.4116,33.2535,32.4877,-16.7455,-25.8779
2810800,0.0005597,2304,45.3783,-29.9964,33.2208,32.7836,-16.6712,-26.0759
2811200,0.000839545,2308,46.0269,-29.6663,33.1629,33.1011,-16.5782,-26.1559
2811600,0.00111938,2315,47.1573,-29.3466,32.9671,33.7084,-16.4567,-26.3219
2812000,0.00139921,2319,47.8023,-29.2295,32.8482,34.0683,-16.4052,-26.4099
2812400,0.00167903,2323,48.4352,-29.173,32.7544,34.4163,-16.3605,-26.5439
2812800,0.00195884,2331,49.6438,-29.1664,32.5845,35.0346,-16.2888,-26.7839
2813200,0.00223864,2334,50.0377,-29.2212,32.4998,35.2629,-16.2545,-26.9179
2813600,0.00251842,2338,50.5321,-29.3791,32.3717,35.5419,-16.2605,-27.0718
2814000,0.00279818,2344,51.174,-29.7264,32.1743,35.8764,-16.2735,-27.2638
2814400,0.00307793,2348,51.5675,-29.9981,32.0353,36.0443,-16.281,-27.3238
2814800,0.0030778,2351,51.8602,-30.246,31.9242,36.1406,-16.3208,-27.3678
2815200,0.00307766,2357,52.3408,-30.8241,31.6601,36.3648,-16.391,-27.4218
2815600,0.0030775,2364,52.8779,-31.5311,31.3666,36.6034,-16.4667,-27.4998
2816000,0.00307732,2370,53.4163,-31.9662,31.1226,36.8005,-16.4892,-27.5658
2816400,0.00307713,2370,53.4163,-31.9662,31.1226,36.8005,-16.4892,-27.5658
2816800,0.00307692,2376,54.0457,-32.4887,30.8954,37.0156,-16.538,-27.7358
2817200,0.0030767,2384,55.0123,-33.1733,30.7185,37.293,-16.6207,-28.0698
2817600,0.00307646,2387,55.4262,-33.4166,30.6677,37.3806,-16.637,-28.1938
2818000,0.00307622,2393,56.1577,-33.8119,30.5625,37.566,-16.6667,-28.5018
2818400,0.00307596,2398,56.676,-34.0385,30.4438,37.7201,-16.678,-28.7757
2818800,0.00307569,2402,57.0194,-34.184,30.3401,37.8282,-16.6695,-28.9637
2819200,0.00307542,2406,57.2922,-34.3468,30.227,37.9267,-16.679,-29.1477
2819600,0.00307513,2410,57.5186,-34.5275,30.1205,38.003,-16.6725,-29.2717
2820000,0.00307484,2417,57.7783,-34.9075,29.9423,38.0884,-16.668,-29.4857
2820400,0.00307453,2421,57.9003,-35.1701,29.8687,38.0717,-16.6592,-29.6057
2820800,0.00307423,2425,57.9524,-35.4821,29.8011,38.0479,-16.6657,-29.7657
2821200,0.00307391,2429,57.9527,-35.8091,29.7329,38.0165,-16.6495,-29.8937
2821600,0.0030736,2436,57.8491,-36.3945,29.5916,37.9667,-16.6277,-30.0557
2822000,0.00307327,2440,57.7753,-36.7216,29.5084,37.9382,-16.614,-30.1537
2822400,0.00307295,2444,57.6734,-36.9916,29.4371,37.9114,-16.5822,-30.2657
2822800,0.00307262,2452,57.4962,-37.1577,29.3385,37.8691,-16.4577,-30.5736
2823200,0.00307229,2456,57.4328,-37.1643,29.3185,37.8524,-16.3867,-30.7216
2823600,0.00307196,2460,57.4056,-37.1755,29.3362,37.828,-16.3265,-30.8016
2824000,0.00307162,2463,57.4001,-37.1569,29.357,37.8233,-16.2723,-30.8276
2824400,0.00307129,2471,57.4409,-36.9792,29.4256,37.8284,-16.109,-30.9516
2824800,0.00307095,2475,57.4633,-36.8307,29.4669,37.8221,-16.007,-31.0216
2825200,0.00307062,2479,57.4921,-36.6508,29.4946,37.8025,-15.9223,-31.0996
2825600,0.00307029,2482,57.5081,-36.4921,29.5141,37.7765,-15.8468,-31.1716
2826000,0.00306996,2490,57.5208,-36.0174,29.5836,37.6651,-15.6545,-31.3936
2826400,0.00306963,2494,57.5212,-35.7645,29.6183,37.5923,-15.5563,-31.5436
2826800,0.0030693,2498,57.5233,-35.5037,29.6403,37.5217,-15.4583,-31.6976
2827200,0.00306898,2502,57.5297,-35.2194,29.6576,37.4491,-15.3511,-31.8396
2827600,0.00306866,2509,57.5497,-34.7616,29.7072,37.3331,-15.1843,-32.0975
