DUECA time,xdotdot,FrameSignature,Roll raw,Pitch raw,Yaw raw,X raw,Y raw,Z raw
30604000,0,21430,11.193,-458.415,-44.4974,110.652,-207.248,125.066
30604400,0.000279851,21438,11.2271,-458.314,-44.4431,110.565,-207.315,125.15
30604800,0.0005597,21442,11.2179,-458.286,-44.4209,110.52,-207.353,125.182
30605200,0.000839545,21447,11.2009,-458.276,-44.379,110.455,-207.393,125.202
30605600,0.00111938,21451,11.1876,-458.261,-44.3353,110.392,-207.432,125.21
30606000,0.00139921,21458,11.157,-458.212,-44.2574,110.273,-207.479,125.236
30606400,0.00167903,21462,11.1282,-458.165,-44.2112,110.197,-207.496,125.256
30606800,0.00195884,21466,11.1038,-458.106,-44.1678,110.122,-207.494,125.276
30607200,0.00223864,21470,11.086,-458.034,-44.1331,110.056,-207.501,125.29
30607600,0.00251842,21477,11.1025,-457.923,-44.0664,109.956,-207.505,125.29
30608000,0.00279818,21481,11.1248,-457.873,-44.0229,109.913,-207.51,125.28
30608400,0.00307793,21485,11.1495,-457.816,-43.9932,109.887,-207.512,125.266
30608800,0.0030778,21488,11.1704,-457.773,-43.9825,109.877,-207.519,125.27
30609200,0.00307766,21496,11.2439,-457.666,-43.9614,109.892,-207.527,125.32
30609600,0.0030775,21500,11.2892,-457.647,-43.9205,109.919,-207.544,125.294
30610000,0.00307732,21504,11.3609,-457.626,-43.8687,109.943,-207.556,125.318
30610400,0.00307713,21511,11.4972,-457.579,-43.7621,109.971,-207.586,125.34
30610800,0.00307692,21515,11.5647,-457.53,-43.7123,109.976,-207.599,125.35
30611200,0.0030767,21518,11.609,-457.482,-43.6814,109.976,-207.6,125.362
30611600,0.00307646,21526,11.7525,-457.331,-43.5881,109.955,-207.597,125.396
30612000,0.00307622,21530,11.8433,-457.27,-43.512,109.932,-207.594,125.358
30612400,0.00307596,21533,11.9143,-457.21,-43.4389,109.908,-207.589,125.328
30612800,0.00307569,21541,12.0739,-456.94,-43.2789,109.853,-207.536,125.242
30613200,0.00307542,21541,12.0739,-456.94,-43.2789,109.853,-207.536,125.242
30613600,0.00307513,21548,12.181,-456.674,-43.1986,109.838,-207.482,125.182
30614000,0.00307484,21552,12.2671,-456.576,-43.1312,109.826,-207.469,125.15
30614400,0.00307453,21556,12.3646,-456.51,-43.052,109.832,-207.462,125.094
30614800,0.00307423,21564,12.6131,-456.443,-42.8768,109.859,-207.48,124.984
30615200,0.00307391,21567,12.6978,-456.428,-42.8111,109.879,-207.481,124.944
30615600,0.0030736,21571,12.806,-456.398,-42.7286,109.896,-207.487,124.886
30616000,0.00307327,21578,12.9829,-456.299,-42.6252,109.917,-207.473,124.814
30616400,0.00307295,21582,13.073,-456.224,-42.5718,109.929,-207.449,124.778
30616800,0.00307262,21586,13.1741,-456.141,-42.5007,109.927,-207.432,124.72
30617200,0.00307229,21594,13.3575,-455.978,-42.3468,109.915,-207.383,124.586
30617600,0.00307196,21597,13.4356,-455.922,-42.2971,109.905,-207.373,124.538
30618000,0.00307162,21601,13.5206,-455.859,-42.2418,109.908,-207.346,124.486
30618400,0.00307129,21608,13.6976,-455.797,-42.1297,109.924,-207.326,124.39
30618800,0.00307095,21612,13.8072,-455.8,-42.0544,109.945,-207.333,124.318
30619200,0.00307062,21616,13.9182,-455.822,-41.9827,109.983,-207.34,124.264
30619600,0.00307029,21620,14.0278,-455.869,-41.9215,110.037,-207.354,124.186
30620000,0.00306996,21627,14.2273,-455.977,-41.8361,110.152,-207.404,124.032
30620400,0.00306963,21627,14.2273,-455.977,-41.8361,110.152,-207.404,124.032
30620800,0.0030693,21635,14.4991,-456.106,-41.7799,110.317,-207.471,123.882
30621200,0.00306898,21638,14.6177,-456.159,-41.7496,110.384,-207.497,123.82
30621600,0.00306866,21646,14.9768,-456.3,-41.6192,110.549,-207.546,123.646
30622000,0.00306834,21650,15.1305,-456.347,-41.5485,110.627,-207.567,123.544
30622400,0.00306803,21654,15.2742,-456.363,-41.5023,110.697,-207.569,123.482
30622800,0.00306772,21661,15.4786,-456.391,-41.4466,110.813,-207.579,123.378
30623200,0.00306741,21665,15.5831,-456.43,-41.4107,110.885,-207.593,123.3
30623600,0.00306712,21669,15.7017,-456.486,-41.3636,110.954,-207.615,123.228
30624000,0.00306682,21676,15.9377,-456.621,-41.2733,111.078,-207.667,123.122
30624400,0.00306653,21680,16.063,-456.713,-41.2169,111.143,-207.702,123.048
30624800,0.00306625,21684,16.1689,-456.8,-41.1609,111.2,-207.734,122.978
30625200,0.00306598,21687,16.2372,-456.857,-41.1185,111.238,-207.755,122.935
30625600,0.00306571,21695,16.4105,-456.956,-41.0207,111.345,-207.786,122.817
30626000,0.00306544,21695,16.4105,-456.956,-41.0207,111.345,-207.786,122.817
30626400,0.00306518,21702,16.5823,-457.023,-40.9162,111.44,-207.81,122.685
30626800,0.00306493,21708,16.745,-457.087,-40.836,111.535,-207.835,122.563
30627200,0.00306469,21712,16.8544,-457.136,-40.793,111.608,-207.861,122.501
30627600,0.00306445,21719,17.0445,-457.239,-40.7151,111.74,-207.905,122.453
30628000,0.00306422,21719,17.0445,-457.239,-40.7151,111.74,-207.905,122.453
30628400,0.003064,21727,17.2518,-457.407,-40.6206,111.891,-207.976,122.429
30628800,0.00306378,21734,17.4145,-457.584,-40.5587,112.03,-208.057,122.387
30629200,0.00306357,21738,17.5087,-457.684,-40.5231,112.101,-208.112,122.365
30629600,0.00306337,21742,17.596,-457.772,-40.4862,112.174,-208.151,122.363
30630000,0.00306318,21746,17.7,-457.851,-40.4494,112.235,-208.199,122.359
30630400,0.00306299,21753,17.8896,-457.969,-40.3977,112.342,-208.274,122.357
30630800,0.00306281,21757,17.9952,-458.04,-40.3645,112.402,-208.312,122.359
30631200,0.00306264,21761,18.0836,-458.109,-40.3179,112.449,-208.347,122.359
30631600,0.00306248,21765,18.1594,-458.156,-40.2666,112.482,-208.377,122.369
30632000,0.00306232,21772,18.2799,-458.181,-40.201,112.522,-208.422,122.399
30632400,0.00306217,21778,18.3674,-458.228,-40.166,112.569,-208.47,122.409
30632800,0.00306203,21782,18.4257,-458.286,-40.137,112.613,-208.509,122.431
30633200,0.00306189,21786,18.5236,-458.343,-40.1032,112.649,-208.551,122.467
30633600,0.00306176,21789,18.605,-458.386,-40.0791,112.677,-208.582,122.483
30634000,0.00306164,21793,18.6972,-458.451,-40.0535,112.725,-208.629,122.495
30634400,0.00306153,21801,18.8323,-458.555,-40.0073,112.826,-208.712,122.497
30634800,0.00306142,21805,18.9161,-458.573,-39.9875,112.857,-208.753,122.505
30635200,0.00306132,21808,18.9593,-458.583,-39.9745,112.889,-208.775,122.509
30635600,0.00306122,21814,19.0882,-458.599,-39.9391,112.929,-208.826,122.535
30636000,0.00306113,21818,19.1744,-458.606,-39.9082,112.948,-208.86,122.561
30636400,0.00306105,21825,19.3208,-458.606,-39.8625,112.979,-208.917,122.607
30636800,0.00306098,21829,19.4034,-458.611,-39.8436,112.999,-208.953,122.633
30637200,0.00306091,21833,19.4859,-458.618,-39.8214,113.012,-208.989,122.657
30637600,0.00306084,21839,19.6082,-458.635,-39.7789,113.019,-209.049,122.677
30638000,0.00306079,21842,19.6652,-458.643,-39.7568,113.017,-209.081,122.695
30638400,0.00306073,21850,19.7982,-458.665,-39.7167,113.001,-209.156,122.767
