DUECA time,xdotdot,FrameSignature,Roll raw,Pitch raw,Yaw raw,X raw,Y raw,Z raw
1310000,0,11563,6.01922,-52.4324,-4.04114,3.30702,5.17568,-0.874447
1310400,0.000279851,11566,6.02378,-52.4181,-4.04393,3.31903,5.17818,-0.886446
1310800,0.0005597,11574,6.03412,-52.3895,-4.05158,3.34555,5.16818,-0.942442
1311200,0.000839545,11578,6.03599,-52.3708,-4.05318,3.35401,5.16468,-0.968441
1311600,0.00111938,11581,6.03543,-52.361,-4.05333,3.35933,5.16019,-0.98844
1312000,0.00139921,11585,6.0363,-52.3514,-4.05378,3.36411,5.15019,-1.01444
1312400,0.00167903,11593,6.05613,-52.3085,-4.05631,3.37022,5.13669,-1.06444
1312800,0.00195884,11596,6.06429,-52.2827,-4.05532,3.37258,5.13069,-1.07843
1313200,0.00223864,11600,6.0613,-52.2664,-4.04913,3.3792,5.12569,-1.11243
1313600,0.00251842,11604,6.05997,-52.2574,-4.05278,3.39653,5.11919,-1.15043
1314000,0.00279818,11611,6.07527,-52.2483,-4.0515,3.42613,5.10569,-1.16843
1314400,0.00307793,11615,6.09068,-52.2339,-4.05104,3.43995,5.10169,-1.18843
1314800,0.0030778,11619,6.09192,-52.2223,-4.05346,3.4584,5.10069,-1.22043
1315200,0.00307766,11626,6.07763,-52.2238,-4.04886,3.47929,5.09119,-1.27042
1315600,0.0030775,11630,6.06658,-52.2288,-4.04421,3.48513,5.08219,-1.28842
1316000,0.00307732,11634,6.05316,-52.2241,-4.04089,3.4916,5.07769,-1.31042
1316400,0.00307713,11642,6.02961,-52.2297,-4.02818,3.50172,5.06969,-1.35042
1316800,0.00307692,11645,6.02145,-52.2396,-4.0239,3.50715,5.06819,-1.36042
1317200,0.0030767,11649,6.01444,-52.2469,-4.01697,3.51196,5.06619,-1.37242
1317600,0.00307646,11653,6.00748,-52.2715,-4.01202,3.5221,5.06569,-1.39242
1318000,0.00307622,11661,6.00223,-52.3302,-3.99049,3.53952,5.06369,-1.43241
1318400,0.00307596,11664,6.00426,-52.3472,-3.9827,3.54733,5.06669,-1.43841
1318800,0.00307569,11668,6.00332,-52.3656,-3.97564,3.56419,5.06219,-1.44641
