DUECA time,xdotdot,FrameSignature,Roll raw,Pitch raw,Yaw raw,X raw,Y raw,Z raw
2397200,0.000139926,13519,339.252,1179.84,999.701,-311.929,-817.941,-35.1644
2397600,0.000419776,13523,339.387,1179.47,999.634,-311.822,-817.615,-35.2144
2398000,0.000699623,13527,339.482,1179.13,999.592,-311.747,-817.288,-35.2483
2398400,0.000979465,13535,339.616,1178.47,999.53,-311.672,-816.689,-35.3083
2398800,0.0012593,13538,339.651,1178.25,999.485,-311.643,-816.489,-35.2583
2399200,0.00153913,13542,339.696,1177.92,999.408,-311.595,-816.228,-35.1144
2399600,0.00181894,13546,339.779,1177.52,999.359,-311.571,-815.999,-34.9344
2400000,0.00209874,13554,339.963,1176.67,999.322,-311.57,-815.58,-34.5244
2400400,0.00237853,13557,340.012,1176.32,999.292,-311.572,-815.455,-34.3584
2400800,0.0026583,13561,340.034,1175.88,999.222,-311.559,-815.283,-34.1364
2401200,0.00293806,13569,340.091,1175.11,999.068,-311.578,-814.94,-33.6504
2401600,0.00307787,13573,340.115,1174.79,998.997,-311.59,-814.773,-33.4045
2402000,0.00307773,13577,340.139,1174.47,998.929,-311.6,-814.608,-33.1425
2402400,0.00307758,13580,340.16,1174.24,998.881,-311.614,-814.476,-32.9665
2402800,0.00307741,13588,340.209,1173.64,998.719,-311.625,-814.15,-32.4765
2403200,0.00307723,13592,340.246,1173.32,998.644,-311.642,-814.015,-32.2485
2403600,0.00307703,13595,340.251,1173.06,998.585,-311.641,-813.908,-32.1265
2404000,0.00307681,13603,340.24,1172.39,998.426,-311.684,-813.674,-31.7686
2404400,0.00307658,13607,340.212,1172.05,998.315,-311.688,-813.568,-31.5986
2404800,0.00307634,13610,340.191,1171.8,998.243,-311.706,-813.494,-31.4886
2405200,0.00307609,13614,340.158,1171.52,998.177,-311.749,-813.37,-31.3806
2405600,0.00307583,13618,340.136,1171.29,998.12,-311.801,-813.251,-31.2746
2406000,0.00307556,13626,340.043,1171.16,997.938,-311.803,-812.935,-31.0646
2406400,0.00307527,13629,339.999,1171.14,997.854,-311.776,-812.819,-30.9886
2406800,0.00307498,13633,339.959,1171.11,997.763,-311.758,-812.661,-30.8926
2407200,0.00307469,13641,339.91,1171.04,997.639,-311.743,-812.37,-30.7306
2407600,0.00307438,13644,339.885,1170.99,997.593,-311.74,-812.286,-30.6906
2408000,0.00307407,13648,339.844,1170.94,997.526,-311.737,-812.159,-30.6426
2408400,0.00307376,13656,339.738,1170.89,997.355,-311.718,-811.947,-30.5286
2408800,0.00307343,13660,339.685,1170.87,997.285,-311.725,-811.846,-30.4646
2409200,0.00307311,13664,339.637,1170.83,997.238,-311.754,-811.776,-30.4406
2409600,0.00307278,13668,339.574,1170.8,997.193,-311.792,-811.705,-30.4406
2410000,0.00307245,13675,339.474,1170.79,997.112,-311.884,-811.605,-30.3866
2410400,0.00307212,13679,339.426,1170.79,997.071,-311.943,-811.553,-30.3406
2410800,0.00307179,13683,339.387,1170.79,997.037,-312.002,-811.499,-30.3226
2411200,0.00307145,13686,339.362,1170.8,997.019,-312.052,-811.456,-30.2967
2411600,0.00307112,13694,339.294,1170.87,996.952,-312.169,-811.324,-30.2087
2412000,0.00307079,13698,339.269,1170.91,996.892,-312.19,-811.248,-30.1707
2412400,0.00307045,13702,339.263,1170.98,996.847,-312.201,-811.139,-30.1227
2412800,0.00307012,13705,339.278,1171.05,996.827,-312.208,-811.036,-30.1107
2413200,0.00306979,13713,339.414,1171.33,996.829,-312.189,-810.658,-30.0847
2413600,0.00306946,13717,339.52,1171.44,996.814,-312.114,-810.45,-30.0947
2414000,0.00306914,13720,339.609,1171.5,996.8,-312.027,-810.285,-30.1447
2414400,0.00306882,13728,339.885,1171.53,996.822,-311.785,-809.833,-30.2687
2414800,0.0030685,13732,340.037,1171.52,996.854,-311.689,-809.609,-30.3246
2415200,0.00306818,13735,340.154,1171.52,996.868,-311.635,-809.432,-30.3606
2415600,0.00306787,13739,340.297,1171.52,996.875,-311.576,-809.176,-30.3886
2416000,0.00306757,13747,340.594,1171.55,996.893,-311.506,-808.598,-30.4166
2416400,0.00306726,13751,340.756,1171.57,996.93,-311.49,-808.295,-30.4666
2416800,0.00306697,13754,340.893,1171.61,996.965,-311.481,-808.015,-30.5026
2417200,0.00306668,13762,341.336,1171.64,997.089,-311.457,-807.256,-30.6266
2417600,0.00306639,13766,341.608,1171.63,997.151,-311.426,-806.845,-30.6426
2418000,0.00306611,13769,341.841,1171.59,997.195,-311.393,-806.541,-30.6466
2418400,0.00306584,13773,342.166,1171.52,997.258,-311.341,-806.148,-30.6586
2418800,0.00306557,13781,342.89,1171.38,997.381,-311.24,-805.363,-30.6546
2419200,0.00306531,13785,343.238,1171.32,997.422,-311.187,-804.992,-30.6466
2419600,0.00306506,13788,343.493,1171.27,997.449,-311.151,-804.702,-30.6386
2420000,0.00306481,13796,344.15,1171.15,997.516,-311.078,-803.966,-30.6406
2420400,0.00306457,13800,344.423,1171.09,997.561,-311.066,-803.589,-30.6846
2420800,0.00306434,13804,344.656,1171.08,997.587,-311.05,-803.211,-30.6706
2421200,0.00306411,13807,344.81,1171.09,997.593,-311.031,-802.904,-30.6406
2421600,0.00306389,13815,345.238,1171.12,997.58,-310.96,-802.106,-30.5126
2422000,0.00306368,13819,345.49,1171.11,997.597,-310.928,-801.729,-30.5106
2422400,0.00306347,13823,345.753,1171.1,997.623,-310.891,-801.343,-30.4846
2422800,0.00306328,13830,346.201,1171.08,997.649,-310.808,-800.678,-30.4346
2423200,0.00306309,13834,346.44,1171.09,997.64,-310.745,-800.29,-30.4246
2423600,0.0030629,13838,346.665,1171.11,997.618,-310.67,-799.921,-30.4206
2424000,0.00306273,13842,346.884,1171.15,997.605,-310.612,-799.52,-30.4206
2424400,0.00306256,13845,347.029,1171.19,997.597,-310.577,-799.241,-30.4146
2424800,0.0030624,13853,347.277,1171.3,997.533,-310.489,-798.547,-30.3786
2425200,0.00306224,13857,347.306,1171.35,997.47,-310.445,-798.29,-30.3466
2425600,0.0030621,13864,347.326,1171.42,997.326,-310.371,-797.911,-30.2147
2426000,0.00306196,13868,347.401,1171.42,997.275,-310.344,-797.737,-30.2027
2426400,0.00306183,13872,347.508,1171.42,997.247,-310.327,-797.595,-30.1727
2426800,0.0030617,13876,347.605,1171.4,997.219,-310.312,-797.5,-30.1587
2427200,0.00306158,13883,347.668,1171.39,997.08,-310.251,-797.393,-30.0207
2427600,0.00306147,13887,347.676,1171.38,996.956,-310.196,-797.375,-29.9287
2428000,0.00306137,13890,347.679,1171.36,996.868,-310.158,-797.394,-29.8787
2428400,0.00306127,13894,347.681,1171.34,996.778,-310.119,-797.418,-29.8247
2428800,0.00306118,13901,347.674,1171.28,996.61,-310.01,-797.587,-29.7627
2429200,0.00306109,13905,347.71,1171.24,996.504,-309.95,-797.734,-29.6967
2429600,0.00306101,13913,347.797,1171.1,996.289,-309.819,-798.138,-29.5687
2430000,0.00306094,13918,347.886,1170.99,996.197,-309.771,-798.466,-29.5007
2430400,0.00306087,13918,347.886,1170.99,996.197,-309.771,-798.466,-29.5007
2430800,0.00306081,13924,347.98,1170.86,996.102,-309.75,-798.912,-29.4187
2431200,0.00306076,13932,347.939,1170.57,995.906,-309.716,-799.686,-29.2967
2431600,0.00306071,13935,347.902,1170.4,995.824,-309.701,-800.062,-29.2747
2432000,0.00306067,13939,347.879,1170.1,995.74,-309.701,-800.645,-29.2467
2432400,0.00306063,13943,347.879,1169.74,995.668,-309.706,-801.298,-29.2127
2432800,0.0030606,13947,347.886,1169.34,995.614,-309.719,-802.027,-29.1527
2433200,0.00306057,13954,347.93,1168.56,995.521,-309.743,-803.53,-28.9427
2433600,0.00306055,13958,347.956,1168.03,995.46,-309.745,-804.585,-28.8007
2434000,0.00306053,13966,348.044,1166.69,995.397,-309.759,-807.118,-28.5728
2434400,0.00306051,13969,348.086,1166.08,995.39,-309.768,-808.227,-28.4928
2434800,0.00306051,13973,348.123,1165.14,995.373,-309.771,-809.876,-28.3828
2435200,0.0030605,13977,348.156,1164.03,995.335,-309.762,-811.747,-28.2588
2435600,0.0030605,13981,348.189,1162.77,995.28,-309.739,-813.752,-28.1308
2436000,0.0030605,13989,348.28,1160.1,995.207,-309.703,-817.945,-27.8568
2436400,0.00306051,13992,348.342,1159.12,995.203,-309.7,-819.514,-27.7548
2436800,0.00306052,13996,348.422,1157.84,995.196,-309.694,-821.641,-27.6088
2437200,0.00306054,14004,348.548,1155.44,995.169,-309.689,-825.859,-27.2808
2437600,0.00306055,14008,348.588,1154.45,995.129,-309.68,-827.813,-27.0768
2438000,0.00306057,14011,348.61,1153.86,995.084,-309.666,-829.193,-26.8869
2438400,0.0030606,14019,348.646,1152.52,994.953,-309.623,-832.548,-26.3169
2438800,0.00306063,14023,348.652,1152.04,994.884,-309.606,-834.034,-25.9729
2439200,0.00306065,14027,348.63,1151.64,994.812,-309.595,-835.504,-25.6429
2439600,0.00306069,14031,348.57,1151.29,994.731,-309.588,-836.966,-25.359
2440000,0.00306072,14038,348.408,1150.94,994.583,-309.595,-839.357,-24.851
2440400,0.00306076,14042,348.312,1150.85,994.488,-309.598,-840.621,-24.591
2440800,0.0030608,14046,348.265,1150.81,994.411,-309.606,-841.771,-24.335
2441200,0.00306084,14050,348.288,1150.83,994.377,-309.624,-842.748,-24.063
2441600,0.00306088,14057,348.393,1150.78,994.352,-309.63,-844.277,-23.7411
2442000,0.00306092,14057,348.393,1150.78,994.352,-309.63,-844.277,-23.7411
2442400,0.00306097,14065,348.465,1150.75,994.238,-309.603,-845.905,-23.3691
2442800,0.00306102,14072,348.273,1151.07,993.974,-309.55,-847.199,-22.9351
2443200,0.00306106,14076,348.096,1151.31,993.747,-309.521,-847.9,-22.6511
2443600,0.00306111,14080,347.898,1151.55,993.461,-309.489,-848.552,-22.3551
2444000,0.00306116,14084,347.737,1151.74,993.163,-309.462,-849.106,-22.1112
2444400,0.00306122,14091,347.56,1151.98,992.769,-309.435,-849.894,-21.7692
2444800,0.00306127,14095,347.493,1152.1,992.604,-309.423,-850.27,-21.6052
2445200,0.00306132,14099,347.445,1152.18,992.443,-309.413,-850.587,-21.4472
2445600,0.00306137,14106,347.343,1152.36,992.072,-309.353,-850.953,-21.2292
2446000,0.00306143,14110,347.293,1152.52,991.864,-309.302,-851.002,-21.0992
2446400,0.00306148,14114,347.286,1152.7,991.729,-309.256,-850.977,-21.0032
2446800,0.00306154,14118,347.306,1152.85,991.657,-309.207,-850.875,-20.9872
2447200,0.00306159,14125,347.406,1153.03,991.529,-309.079,-850.507,-21.0672
2447600,0.00306165,14129,347.561,1153.11,991.476,-308.986,-850.105,-21.0392
2448000,0.0030617,14133,347.84,1153.18,991.514,-308.897,-849.453,-20.9972
2448400,0.00306176,14137,348.231,1153.15,991.647,-308.797,-848.687,-21.0272
