DUECA time,xdotdot,FrameSignature,Roll raw,Pitch raw,Yaw raw,X raw,Y raw,Z raw
32824000,-0.0002558,30121,-243.435,-86.24,-72.8663,-191.426,-181.71,91.8854
32824400,-0.001279,30125,-243.808,-86.2506,-72.8514,-191.628,-181.54,91.8514
32824800,-0.00230218,30129,-244.188,-86.2951,-72.8737,-191.795,-181.385,91.8334
32825200,-0.00332535,30137,-244.942,-86.5512,-72.9179,-192.075,-181.085,91.9054
32825600,-0.0043485,30140,-245.175,-86.6933,-72.9055,-192.243,-180.986,91.9994
32826000,-0.00537161,30144,-245.567,-86.9071,-72.8987,-192.448,-180.852,92.1814
32826400,-0.00639468,30148,-245.991,-87.09,-72.9019,-192.701,-180.719,92.4414
32826800,-0.00741771,30156,-247.053,-87.4071,-72.9699,-193.224,-180.445,93.0933
32827200,-0.00844069,30159,-247.522,-87.5586,-72.997,-193.426,-180.363,93.3233
32827600,-0.00946361,30163,-248.184,-87.7636,-73.0157,-193.721,-180.254,93.5833
32828000,-0.0104865,30171,-249.538,-88.026,-73.013,-194.409,-179.987,94.0393
32828400,-0.0112535,30175,-250.283,-88.0945,-73.0207,-194.745,-179.843,94.1593
32828800,-0.011253,30178,-250.87,-88.106,-73.0298,-194.992,-179.703,94.2012
32829200,-0.0112525,30182,-251.703,-88.1043,-73.0406,-195.319,-179.527,94.1733
32829600,-0.0112519,30190,-253.404,-87.9565,-73.0843,-195.92,-179.111,94.0553
32830000,-0.0112512,30193,-253.996,-87.8547,-73.0989,-196.132,-178.943,94.0493
32830400,-0.0112505,30197,-254.678,-87.7319,-73.1001,-196.431,-178.74,94.0853
32830800,-0.0112497,30205,-255.814,-87.5504,-73.1075,-196.914,-178.381,94.2892
32831200,-0.0112489,30208,-256.128,-87.5239,-73.1151,-197.046,-178.275,94.3312
32831600,-0.011248,30212,-256.436,-87.5091,-73.1249,-197.178,-178.123,94.3932
32832000,-0.0112471,30216,-256.604,-87.5327,-73.1267,-197.252,-177.993,94.3872
32832400,-0.0112461,30220,-256.588,-87.5546,-73.1025,-197.344,-177.858,94.4852
32832800,-0.0112452,30227,-256.539,-87.5763,-73.03,-197.469,-177.623,94.7132
32833200,-0.0112441,30231,-256.561,-87.5455,-73.0179,-197.482,-177.463,94.7972
32833600,-0.0112431,30235,-256.588,-87.5038,-73.0235,-197.464,-177.303,94.8552
32834000,-0.011242,30242,-256.428,-87.4507,-72.9876,-197.443,-177.025,94.9052
32834400,-0.0112409,30246,-256.204,-87.4192,-72.9248,-197.448,-176.859,94.8572
32834800,-0.0112398,30250,-255.9,-87.3571,-72.85,-197.473,-176.692,94.8152
32835200,-0.0112386,30254,-255.581,-87.2941,-72.784,-197.488,-176.511,94.7832
32835600,-0.0112374,30261,-255.104,-87.1421,-72.6809,-197.474,-176.197,94.6672
32836000,-0.0112363,30265,-254.836,-87.0225,-72.6162,-197.459,-176.005,94.5952
32836400,-0.0112351,30274,-254.204,-86.7504,-72.4648,-197.426,-175.561,94.3652
32836800,-0.0112339,30274,-254.204,-86.7504,-72.4648,-197.426,-175.561,94.3652
32837200,-0.0112327,30278,-253.913,-86.6253,-72.3954,-197.41,-175.38,94.2752
32837600,-0.0112314,30287,-253.297,-86.3894,-72.2335,-197.39,-174.989,94.0813
32838000,-0.0112302,30287,-253.297,-86.3894,-72.2335,-197.39,-174.989,94.0813
32838400,-0.011229,30295,-252.816,-86.2382,-72.0948,-197.376,-174.692,93.9073
32838800,-0.0112278,30298,-252.638,-86.1903,-72.043,-197.369,-174.6,93.8433
32839200,-0.0112266,30306,-252.108,-86.0839,-71.8792,-197.365,-174.339,93.6633
32839600,-0.0112253,30310,-251.88,-86.03,-71.7801,-197.37,-174.205,93.5733
32840000,-0.0112241,30313,-251.761,-85.9872,-71.7031,-197.379,-174.107,93.4953
32840400,-0.0112229,30321,-251.565,-85.8119,-71.5512,-197.404,-173.843,93.4333
32840800,-0.0112217,30321,-251.565,-85.8119,-71.5512,-197.404,-173.843,93.4333
32841200,-0.0112206,30328,-251.416,-85.6729,-71.4214,-197.427,-173.631,93.3813
32841600,-0.0112194,30332,-251.299,-85.5912,-71.3167,-197.444,-173.505,93.3153
32842000,-0.0112182,30336,-251.166,-85.4938,-71.2099,-197.459,-173.365,93.2393
32842400,-0.0112171,30344,-250.932,-85.2473,-71.0537,-197.444,-173.071,93.0973
32842800,-0.011216,30347,-250.86,-85.1418,-70.9998,-197.425,-172.954,93.0113
