DUECA time,xdotdot,FrameSignature,Roll raw,Pitch raw,Yaw raw,X raw,Y raw,Z raw
3421200,0.000139926,11517,-39.213,42.2618,-24.3939,-76.4461,-7.57729,144.779
3421600,0.000419776,11521,-39.8223,42.4739,-24.3456,-77.0057,-7.61729,144.627
3422000,0.000699623,11528,-40.9069,42.9703,-24.3228,-77.8657,-7.62928,144.331
3422400,0.000979465,11532,-41.4654,43.3098,-24.3172,-78.3336,-7.63928,144.091
3422800,0.0012593,11536,-41.9978,43.7107,-24.3376,-78.7225,-7.61079,143.825
3423200,0.00153913,11543,-42.856,44.5523,-24.376,-79.2576,-7.55529,143.279
3423600,0.00181894,11547,-43.2967,45.0872,-24.4023,-79.4905,-7.52979,142.931
3424000,0.00209874,11551,-43.6613,45.6275,-24.4246,-79.6794,-7.50779,142.491
3424400,0.00237853,11559,-44.203,46.6269,-24.5415,-79.8075,-7.48079,141.379
3424800,0.0026583,11562,-44.3155,46.9493,-24.5745,-79.8601,-7.47079,140.993
3425200,0.00293806,11566,-44.4442,47.3121,-24.6258,-79.8913,-7.48879,140.511
3425600,0.00307787,11570,-44.5266,47.6519,-24.6981,-79.8897,-7.50379,140.139
3426000,0.00307773,11578,-44.5945,48.1136,-24.8712,-79.7536,-7.56879,139.499
3426400,0.00307758,11582,-44.5389,48.1877,-24.9133,-79.6615,-7.62029,139.019
3426800,0.00307741,11585,-44.4934,48.2159,-24.9179,-79.5933,-7.66678,138.571
3427200,0.00307723,11589,-44.4119,48.2597,-24.9067,-79.5244,-7.71828,137.943
3427600,0.00307703,11596,-44.3197,48.3286,-24.9477,-79.3819,-7.83427,136.949
3428000,0.00307681,11600,-44.2753,48.2925,-24.9934,-79.2586,-7.91277,136.365
3428400,0.00307658,11604,-44.2058,48.1812,-25.0061,-79.1367,-8.02076,135.727
3428800,0.00307634,11611,-44.0651,47.8702,-25.0484,-78.8807,-8.23275,134.739
3429200,0.00307609,11615,-43.9947,47.6305,-25.1266,-78.687,-8.36724,134.195
3429600,0.00307583,11619,-43.9178,47.3115,-25.2473,-78.4577,-8.54173,133.599
3430000,0.00307556,11623,-43.8356,46.9734,-25.3793,-78.2086,-8.72222,132.999
3430400,0.00307527,11631,-43.6558,46.3683,-25.5698,-77.7527,-9.10569,132.051
3430800,0.00307498,11634,-43.5868,46.1881,-25.6206,-77.5961,-9.23669,131.771
3431200,0.00307469,11638,-43.5061,45.9788,-25.6802,-77.3842,-9.42967,131.427
3431600,0.00307438,11642,-43.4225,45.8179,-25.7374,-77.1549,-9.59866,131.104
3432000,0.00307407,11650,-43.1122,45.592,-25.8041,-76.7014,-9.93214,130.382
3432400,0.00307376,11653,-42.9674,45.5239,-25.8063,-76.5077,-10.0326,129.99
3432800,0.00307343,11657,-42.6881,45.4759,-25.7719,-76.3048,-10.1861,129.378
