DUECA time,xdotdot,FrameSignature,Roll raw,Pitch raw,Yaw raw,X raw,Y raw,Z raw
1588000,0,27372,-58.3041,25.2741,8.87951,-10.5242,-45.3769,91.5039
1588400,0.000279851,27376,-58.2912,25.4549,8.90802,-10.496,-45.4364,91.6339
1588800,0.0005597,27380,-58.2589,25.5378,8.93777,-10.485,-45.4949,91.8199
1589200,0.000839545,27387,-58.2803,25.6787,8.95909,-10.4588,-45.6239,92.1399
1589600,0.00111938,27391,-58.3127,25.8307,8.94967,-10.4344,-45.7039,92.2879
1590000,0.00139921,27395,-58.339,25.9725,8.93053,-10.4015,-45.7809,92.4219
1590400,0.00167903,27399,-58.3483,26.0646,8.91544,-10.3652,-45.8649,92.6039
1590800,0.00195884,27406,-58.3099,26.2609,8.94626,-10.3091,-46.0024,92.8698
1591200,0.00223864,27410,-58.2811,26.4466,8.97059,-10.2794,-46.0724,93.0158
1591600,0.00251842,27414,-58.2821,26.6497,8.98787,-10.2503,-46.1304,93.1218
1592000,0.00279818,27418,-58.295,26.9034,8.98501,-10.2378,-46.1864,93.2478
1592400,0.00307793,27425,-58.3538,27.4499,8.97137,-10.2734,-46.2829,93.4958
1592800,0.0030778,27429,-58.4162,27.7596,8.96344,-10.3156,-46.3464,93.6198
1593200,0.00307766,27433,-58.5066,28.0345,8.94354,-10.3614,-46.4229,93.7318
1593600,0.0030775,27440,-58.7156,28.4367,8.86442,-10.44,-46.5754,93.9498
1594000,0.00307732,27444,-58.8471,28.6202,8.80428,-10.4864,-46.6799,94.0538
1594400,0.00307713,27448,-58.9757,28.7454,8.74412,-10.5298,-46.7868,94.1538
1594800,0.00307692,27452,-59.0943,28.7955,8.69226,-10.571,-46.9078,94.2657
1595200,0.0030767,27456,-59.1822,28.7908,8.64405,-10.6138,-47.0153,94.3997
1595600,0.00307646,27463,-59.3477,28.7977,8.58978,-10.6829,-47.1813,94.6117
1596000,0.00307622,27467,-59.463,28.8703,8.54724,-10.6993,-47.2578,94.7057
1596400,0.00307596,27471,-59.5641,28.9654,8.48726,-10.6863,-47.3198,94.7437
1596800,0.00307569,27479,-59.5798,29.109,8.38993,-10.5945,-47.3928,94.8317
1597200,0.00307542,27482,-59.518,29.2116,8.38973,-10.5428,-47.3868,94.8597
1597600,0.00307513,27486,-59.3888,29.4066,8.41322,-10.4659,-47.3573,94.9257
1598000,0.00307484,27494,-59.107,29.9221,8.49668,-10.3036,-47.2388,95.0397
1598400,0.00307453,27498,-58.992,30.2479,8.5397,-10.2328,-47.1653,95.0297
1598800,0.00307423,27501,-58.9229,30.5324,8.57108,-10.1918,-47.1118,95.0017
1599200,0.00307391,27505,-58.8663,30.9311,8.61043,-10.1496,-47.0378,94.9757
1599600,0.0030736,27513,-58.8116,31.6388,8.6684,-10.1061,-46.9223,94.9277
1600000,0.00307327,27517,-58.8168,31.9276,8.69535,-10.1119,-46.8773,94.9777
1600400,0.00307295,27520,-58.8377,32.0879,8.71188,-10.1218,-46.8678,94.9997
1600800,0.00307262,27524,-58.8676,32.2068,8.7259,-10.1487,-46.8713,95.0077
1601200,0.00307229,27532,-58.9207,32.1671,8.74216,-10.2397,-46.9253,95.0917
1601600,0.00307196,27535,-58.9362,32.1262,8.76678,-10.2929,-46.9488,95.1397
1602000,0.00307162,27539,-58.9958,32.1009,8.8284,-10.3814,-46.9798,95.2337
1602400,0.00307129,27547,-59.1673,32.1699,8.92898,-10.5183,-47.0363,95.3437
1602800,0.00307095,27551,-59.2231,32.2121,8.93345,-10.5434,-47.0513,95.3977
1603200,0.00307062,27555,-59.2236,32.25,8.94803,-10.5479,-47.0578,95.4617
1603600,0.00307029,27558,-59.1844,32.3109,8.98017,-10.5465,-47.0473,95.5197
1604000,0.00306996,27562,-59.095,32.4026,9.05717,-10.542,-47.0278,95.5817
1604400,0.00306963,27570,-58.9062,32.6531,9.23767,-10.5373,-46.9608,95.6797
1604800,0.0030693,27573,-58.8588,32.767,9.28109,-10.5368,-46.9378,95.7237
1605200,0.00306898,27577,-58.8271,32.9355,9.3213,-10.5417,-46.8988,95.8036
1605600,0.00306866,27585,-58.8427,33.2149,9.38903,-10.5692,-46.8578,95.8776
1606000,0.00306834,27589,-58.8588,33.3252,9.42741,-10.5958,-46.8463,95.9056
