DUECA time,xdotdot,FrameSignature,Roll raw,Pitch raw,Yaw raw,X raw,Y raw,Z raw
5917200,-0.000767398,16973,-3.58279,376.222,36.0772,-14.8022,37.582,179.967
5917600,-0.00179059,16977,-3.48953,376.65,36.0773,-14.8252,37.587,179.993
5918000,-0.00281377,16985,-3.35277,377.327,36.0574,-14.8537,37.5965,180.017
5918400,-0.00383693,16988,-3.32911,377.557,36.047,-14.8638,37.6025,180.017
5918800,-0.00486006,16992,-3.32953,377.824,36.0299,-14.8758,37.613,180.005
5919200,-0.00588315,16996,-3.32539,378.076,36.0128,-14.8989,37.6255,180.015
5919600,-0.0069062,17002,-3.34608,378.388,35.9794,-14.9342,37.64,180.067
5920000,-0.00792921,17010,-3.40968,378.707,35.9204,-14.9946,37.6585,180.159
5920400,-0.00895216,17013,-3.44191,378.803,35.889,-15.0185,37.6675,180.187
5920800,-0.00997505,17017,-3.48747,378.943,35.8477,-15.0519,37.6805,180.223
5921200,-0.0109979,17021,-3.54259,379.097,35.8068,-15.0864,37.6955,180.259
5921600,-0.0112532,17029,-3.69538,379.431,35.7202,-15.147,37.7365,180.299
5922000,-0.0112527,17032,-3.74383,379.568,35.6858,-15.1755,37.7555,180.309
5922400,-0.0112522,17036,-3.81439,379.747,35.6384,-15.2149,37.7755,180.335
5922800,-0.0112515,17040,-3.88833,379.898,35.5955,-15.2604,37.7935,180.349
5923200,-0.0112508,17044,-3.98273,380.028,35.5498,-15.303,37.811,180.379
5923600,-0.0112501,17051,-4.13955,380.208,35.4806,-15.3976,37.836,180.435
5924000,-0.0112493,17055,-4.24085,380.275,35.4349,-15.4442,37.846,180.453
5924400,-0.0112484,17063,-4.40662,380.399,35.3404,-15.5542,37.875,180.477
5924800,-0.0112476,17067,-4.54253,380.491,35.3057,-15.6193,37.8955,180.471
5925200,-0.0112466,17070,-4.65137,380.564,35.2791,-15.6681,37.9125,180.481
5925600,-0.0112457,17074,-4.78854,380.648,35.2407,-15.7334,37.9345,180.487
5926000,-0.0112446,17078,-4.91275,380.715,35.2085,-15.7998,37.9545,180.505
5926400,-0.0112436,17085,-5.09539,380.757,35.1463,-15.8975,37.9805,180.531
5926800,-0.0112425,17089,-5.18571,380.767,35.1052,-15.9416,37.994,180.559
5927200,-0.0112414,17093,-5.2577,380.779,35.0604,-15.976,38.008,180.585
5927600,-0.0112403,17101,-5.38423,380.779,34.9923,-16.0263,38.033,180.603
5928000,-0.0112392,17104,-5.41806,380.785,34.9713,-16.0402,38.0435,180.603
5928400,-0.011238,17108,-5.4457,380.819,34.9491,-16.0614,38.058,180.619
5928800,-0.0112369,17116,-5.49541,380.873,34.9142,-16.103,38.0845,180.657
5929200,-0.0112357,17119,-5.52244,380.877,34.8987,-16.1149,38.094,180.667
